user_id,merchant_id,label
365952,1203,0
42624,946,0
240000,2278,0
177792,951,0
322944,1892,0
127104,4048,1
324480,2891,1
1920,4015,0
69504,2066,0
147072,740,0
20352,4549,0
152448,3623,0
153984,2102,0
153984,4044,0
89472,2721,0
352896,2537,0
28800,935,0
29568,1840,0
292992,2020,0
97152,361,1
98433,522,0
295041,2469,0
298113,2294,0
36225,474,0
174465,2569,0
43905,1916,0
43905,3835,1
307329,4234,0
121473,4818,0
318081,320,0
256641,2879,0
128385,4768,0
202113,4903,0
404865,3502,0
407169,3971,0
81537,3484,0
213633,2916,0
346497,1724,0
348801,361,0
349569,4589,0
284289,4966,0
153729,4221,0
23169,2447,0
221313,4427,0
288129,1536,0
354177,1588,0
354177,685,0
354177,2928,0
28545,2545,0
300930,133,0
44418,3828,1
373122,1878,0
124290,4219,0
124290,2791,0
195714,798,0
195714,2915,0
401538,1102,0
9858,3536,0
9858,1573,0
79746,2313,0
145794,1250,0
145794,3990,0
145794,2821,0
145794,3263,0
212610,1808,0
212610,4079,0
343938,1393,0
343938,3092,0
409986,596,0
346242,1487,0
217218,963,0
348546,3609,0
290178,3984,0
421506,4078,0
96642,1713,0
362115,3602,0
362883,1840,0
35715,2099,0
232323,3954,0
365955,2436,0
238467,2193,0
238467,4966,0
43395,4976,0
240771,3098,0
374403,742,0
124035,3173,0
256899,1763,0
256899,1487,0
326019,3301,0
332931,4394,0
204675,4655,0
336771,3826,0
209283,4219,0
279171,3971,0
410499,414,0
345987,3954,0
350595,4049,0
350595,1749,0
417411,3971,0
286851,946,0
159363,1816,0
28803,2501,0
94851,4120,0
229764,2954,0
301956,2629,0
40836,2928,0
243588,611,0
245892,2277,0
313476,3545,0
313476,361,0
259716,547,0
263556,1878,0
264324,4584,0
2436,1346,0
2436,4173,1
199044,3965,0
199044,1892,1
4740,2579,0
201348,731,0
332676,4523,0
5508,3152,0
333444,3529,0
399492,3839,0
208260,4524,0
13188,597,0
154500,1322,0
27012,4287,1
96132,3472,0
30852,3108,0
359556,1710,0
230277,4933,0
99717,1850,0
107397,2242,0
238725,437,0
238725,4659,0
375429,4926,0
51333,3826,0
313989,729,0
255621,4818,0
322437,608,0
322437,1840,0
197253,500,0
69765,1852,0
347781,1111,0
20613,2081,1
353157,3350,0
159621,1664,0
159621,3958,0
160389,1895,0
357765,3629,0
36486,4768,0
382086,4217,0
382086,2313,0
190854,1999,0
260742,1393,0
393606,1943,0
2694,2537,1
209286,3541,0
406662,2899,0
341382,4171,0
276870,2569,0
213126,798,0
213126,2511,0
164487,168,0
34695,4044,0
242055,361,0
242055,4044,0
310407,4282,1
50055,414,0
123015,414,0
123015,3828,0
256647,4280,0
327303,3822,0
196743,1673,0
903,437,0
6279,3941,0
141447,323,0
277383,1186,0
280455,2668,0
150663,4818,0
93063,1322,0
231048,2154,0
35208,4044,0
108936,3701,0
380808,4747,0
387720,133,0
192648,2565,0
261768,3933,0
277128,1195,0
277128,3236,0
277128,1500,0
345480,1102,0
151176,4955,0
417672,4079,0
26760,4282,0
225672,3609,1
299145,1522,0
366729,4871,0
366729,2403,0
105609,2664,0
236937,1203,1
374409,3179,0
374409,1500,0
377481,2910,0
51081,3609,0
120969,1892,0
120969,1346,0
120969,2482,0
189321,3839,0
322185,1742,0
129417,4705,0
393,803,0
1929,1678,0
2697,4234,0
269193,2318,0
8073,4976,1
336009,3773,0
13449,102,0
13449,1749,0
13449,2954,0
13449,4793,0
283017,3576,0
283785,1272,1
21897,2459,0
352905,3828,0
353673,1755,0
92553,4976,0
92553,1412,0
421257,4536,0
225417,2954,0
227721,721,0
371082,227,0
44682,4976,1
44682,1788,0
184458,1968,0
251274,1379,0
320394,4894,1
320394,4332,0
320394,4540,0
258186,4829,0
128394,4760,0
128394,2273,0
259722,4760,0
132234,1760,0
330378,3098,0
201354,3472,0
268170,742,0
334986,1031,0
334986,503,0
334986,412,0
73866,2537,0
272010,1346,0
206730,783,0
76170,4858,0
143754,2938,0
278154,2936,0
23946,361,0
357258,3345,0
424074,1890,0
358794,4480,0
230283,4131,0
101259,1695,0
37515,1485,0
370827,1407,0
305547,1102,0
315531,4950,0
184971,2592,0
184971,2664,0
316299,590,0
